Primary ID,Address,Common Nam,Latin Name,DBH,Longitude,Latitude
"196555",501 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.771558656007997,35.280373672235001
"196554",445 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.771550907413001,35.280236640764997
"196551",431 Kingville Drive,Callery pear,Pyrus calleryana,"18",-80.771411810729006,35.279839781591001
"196549",432 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.771276508189999,35.279937765989999
"196547",432 Kingville Drive,Callery pear,Pyrus calleryana,"18",-80.771229420515994,35.279899022332003
"196545",422 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.771040256505003,35.279821322734001
"196541",427 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.771279833381001,35.279750309679997
"196538",417 Kingville Drive,Callery pear,Pyrus calleryana,"18",-80.770940132622002,35.279669129505997
"196532",411 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.770761279046994,35.279630441766997
"196531",407 Kingville Drive,Callery pear,Pyrus calleryana,"14",-80.770597359232994,35.279587310319997
"196515",333 Kingville Drive,Callery pear,Pyrus calleryana,"6",-80.770347615803999,35.279542788378002
"196511",333 Kingville Drive,Callery pear,Pyrus calleryana,"6",-80.770342251385998,35.279559027924002
"196506",333 Kingville Drive,Callery pear,Pyrus calleryana,"2",-80.770182696321996,35.279517320926999
"196503",325 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.769886884957998,35.279460959298000
"196502",319 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.769674925310994,35.279422388794998
"196501",305 Kingville Drive,Callery pear,Pyrus calleryana,"15",-80.769179761149999,35.279375467028999
"196500",301 Kingville Drive,Callery pear,Pyrus calleryana,"13",-80.769017979392004,35.279362692684998
"196499",2304 Hope Valley Lane,Callery pear,Pyrus calleryana,"16",-80.768833801046995,35.279554100821002
"196496",235 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.768801018515006,35.279338242027997
"196492",229 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.768649026676997,35.279319934443002
"196491",6527 Northridge Village Drive,Callery pear,Pyrus calleryana,"14",-80.768251377560006,35.279269721574003
"196489",6603 Northridge Village Drive,Callery pear,Pyrus calleryana,"16",-80.768273264962986,35.279434296388999
"196483",211 Kingville Drive,Callery pear,Pyrus calleryana,"15",-80.768034006481003,35.279259808577997
